id,clean_message,majority_vote,relevant_pieces,classification,confidence,reasoning
12711894_gab,jew faggot milo is king of the alt right great it not the alt right anymore,normal,faggot,hate speech,95.0,"The message contains derogatory terms directed at a specific individual and uses slurs that target both their ethnicity and sexual orientation, which is characteristic of hate speech."
1179093647867949056_twitter,this is a fucking disgrace shameless cunts,hate speech,cunts,normal,85.0,"The message expresses frustration and anger but does not contain any specific hate speech targeting a particular group based on race, religion, or other protected characteristics. It uses vulgar language but lacks discriminatory intent."
5942714_gab,are you talking about sand niggers,normal,sand niggers,hate speech,95.0,"The term 'sand niggers' is a derogatory and racist slur used to dehumanize and insult individuals of Middle Eastern descent. This language promotes hate and discrimination, which classifies it as hate speech."
21217776_gab,imagine being so disconnected that youd think a dickies work shirt and some black pants are comparable to a fur suit imagine crying about optics while writing for a site that screams nigger in every title like a  year old on xbox love who d just found 4 chan,hate speech,nigger,hate speech,95.0,"The message contains derogatory language and racial slurs, specifically the term 'nigger,' which is a clear indication of hate speech. Additionally, it expresses disdain towards a group based on their perceived behavior and appearance, further reinforcing its classification as hate speech."
6817112_gab,sweden suicide is a foregone conclusion no amount of tweeting raging philosophizing or praying is going to do diddly squat for them so why bother our energy is better spent arming and insulating ourselves from the muzzrats here,normal,muzzrats,hate speech,85.0,"The message expresses a strong negative sentiment towards Muslims, using derogatory language ('muzzrats') and suggesting a need to arm and insulate against them, which promotes hostility and violence."
1090673738545283074_twitter,i do not listen to niggershitbullshit,normal,niggershitbullshit,hate speech,95.0,"The message contains a derogatory term 'niggershitbullshit' which is a clear expression of hate towards a racial group, indicating a strong negative sentiment and promoting racial discrimination."
21836106_gab,mfw i m trying to write an important term paper and some affirmative action ass hole starts blasting nigger music outside the window,normal,nigger,hate speech,95.0,"The message contains a derogatory term 'nigger' which is a racial slur aimed at black individuals, indicating a clear expression of hate towards a specific racial group. Additionally, the phrase 'affirmative action ass hole' suggests a negative bias against individuals benefiting from affirmative action, further contributing to the overall hateful tone."
17074293_gab,agreed and riyadh and any another place in that cesspool they congregate as i said level them both if we ever want world peace there are a couple billion fundie raghead that gotta go,normal,cesspool level them both couple billion fundie raghead that gotta go,hate speech,95.0,"The message expresses a violent sentiment towards a specific group, using derogatory terms and suggesting that a large number of people should be eliminated for the sake of world peace. This clearly falls under hate speech as it promotes violence and dehumanization based on ethnicity or religion."
1120883481549189120_twitter,u spell it like a retard,hate speech,retard,hate speech,85.0,"The term 'retard' is a derogatory slur used to demean individuals with intellectual disabilities, which qualifies this message as hate speech."
25552005_gab,no that can not be we all know that muslim knife attacks have nothing to fo with religion,hate speech,muslim knife attacks have nothing to fo with religion,normal,85.0,"The message expresses a viewpoint about Muslim knife attacks and their relation to religion, but it does not contain any derogatory language or promote hate against a specific group. It seems to challenge a narrative rather than incite hate."
24642826_gab,as evidenced by the fact that they do not attack nigger toxic masculinity like rappers ball players with the same ferocity with which they attack toxic white men,normal,nigger,hate speech,95.0,"The message contains a derogatory term for Black individuals ('nigger') and promotes a negative stereotype about Black masculinity in comparison to white masculinity, which is indicative of hate speech."
24226678_gab,always thought that nigger was a faggot,normal,nigger faggot,hate speech,95.0,"The message contains a racial slur ('nigger') and a derogatory term for a homosexual ('faggot'), which are both considered hate speech as they target individuals based on their race and sexual orientation."
16355936_gab,america is supposed to be home to free speech except there is one problem most of the platforms are privately owned by jews and the jews could not care less about your free speech wake up white people the jews control what you see and hear be vigilant,normal,jews control what you see and hear,hate speech,95.0,"The message promotes a harmful stereotype about Jewish people controlling media and free speech, which is a common anti-Semitic trope. It encourages division and distrust based on ethnicity, which qualifies it as hate speech."
14095649_gab,if they are seeking asylum from a terrible mussie country why then are they working so hard to turn these gracious countries into the very mussie countries they claim to be fleeing we all know that answer immediately,normal,mussie mussie,hate speech,85.0,"The message contains derogatory terms like 'mussie' and expresses a negative sentiment towards individuals seeking asylum, implying that they are trying to change the countries they flee to in a negative way. This reflects a prejudiced view against a specific group based on their nationality or religion."
1178251992801533952_twitter,mohammad bin salman al saud ordered the bone sawing of an american journalist i said only thing i wanna see or hear from that camel jockey prince is screams bone sawing him up live on t.v. and twitter gives me  hrs in das hole damn snowflakes,normal,camel jockey,hate speech,95.0,"The message contains derogatory language towards a specific individual based on their ethnicity ('camel jockey') and promotes violence against them, which qualifies it as hate speech."
1079507754719559680_twitter,where in new york was this taken white supremist nazi radical evangelical bigoted pos road rage waiting to happen,hate speech,nazi,hate speech,85.0,"The message contains derogatory terms such as 'white supremist', 'nazi', and 'bigoted', which are used to label and dehumanize individuals based on their beliefs or affiliations. This language promotes a negative stereotype and incites hostility towards a specific group."
1219499223189721088_twitter,“ pick that cotton negro ” or whatever massa said,normal,pick that cotton negro massa,hate speech,95.0,"The message contains a derogatory term 'negro' and references to slavery ('pick that cotton' and 'massa'), which are racially charged and promote a harmful stereotype. This language is offensive and dehumanizing, indicating a clear intent to demean a racial group."
12167695_gab,even worse i have read comments defending this vid stating the message is anti violence against all stfu with that noise,hate speech,stfu with that noise,normal,85.0,"The message expresses frustration with comments defending a video, but it does not contain any hate speech or derogatory language towards any group. It appears to be a critique of opinions rather than an attack on a specific demographic."
18195956_gab,kick all illegal immigrants out they do not belong here they have no business being here we owe them nothing,normal,kick all illegal immigrants out they do not belong here they have no business being here we owe them nothing,hate speech,85.0,"The message expresses a strong negative sentiment towards illegal immigrants, suggesting they do not belong and implying they are undeserving of any rights or support. This aligns with hate speech as it promotes exclusion and dehumanization of a specific group."
23169645_gab,idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring   mildly retarded somali to canada to repopulate canada with the dumbest people on the face of the earth,normal,retarded,hate speech,95.0,"The message contains derogatory language targeting a specific ethnic group (Somali) and implies that they are inferior or 'dumb', which is a clear indication of hate speech. Additionally, it uses terms like 'idiot' and 'retarded' in a derogatory manner, further emphasizing its hateful nature."
1105655062599208960_twitter,suck out you faggot,hate speech,faggot,hate speech,95.0,"The message contains a derogatory term 'faggot', which is a slur used against LGBTQ+ individuals, indicating a clear intent to demean and insult based on sexual orientation."
19792641_gab,ovomits a nigger and a half nigger,normal,nigger nigger,hate speech,95.0,"The message contains derogatory and racist language directed at individuals based on their race, specifically using slurs that are widely recognized as hate speech. This type of language promotes hatred and discrimination."
15835814_gab,so he admits to his inner retard that can not cope with facts not aligning with his feelinz priceless,hate speech,retard,hate speech,85.0,"The message uses derogatory language ('retard') to demean someone's mental capacity, which is considered hate speech as it targets individuals based on perceived mental deficiencies."
4102150_gab,they resisted it for  years along with the nubeans in the south of sudan that is a beautiful and remarkable history of resisting evil i gotta tell u u have to read genesis   the story of ishmael and u will see arabs today perfectly described,hate speech,arabs today perfectly described,normal,85.0,The message discusses historical resistance and references a biblical story without using derogatory language or promoting hate against any group. It appears to be an expression of opinion rather than hate speech.
17188614_gab,years of inbreeding make their hasbara basically retarded it a kike thing,normal,kike,hate speech,95.0,"The message contains derogatory language targeting a specific ethnic group ('kike') and implies that inbreeding leads to a negative trait, which is a harmful stereotype. This type of language is considered hate speech as it promotes discrimination and dehumanization."
8198864_gab,hillary clinton with dyke roomie back in the latter  still a rotten bitch today,normal,dyke bitch,hate speech,85.0,"The message contains derogatory language towards Hillary Clinton, using the term 'dyke' in a pejorative context, which is considered hate speech against the LGBTQ+ community."
1178170242872283137_twitter,years ago i do not believe the best of europeans anticipated the slave trade on the atlantic nor did they forsee the current pillaging of their hard work by the faggots now in some kind of power,normal,faggots,hate speech,85.0,"The message contains derogatory language towards a specific group ('faggots') and implies a negative view of their influence on society, which aligns with hate speech characteristics."
23877736_gab,my goal on this site is expose the filthy disgusting hoodrat nigger bitch in all of her whoredom and debauchery stand by more truth coming,normal,hoodrat nigger bitch,hate speech,95.0,"The message contains derogatory and racist language directed at a specific racial group, using slurs and dehumanizing terms. This clearly falls under hate speech as it promotes hatred and discrimination."
12487417_gab,come on please you forgot you are from europe you think north africa is black you take pre colombians for latinos then for indians are you conscient you are a retarded just as any yankee,hate speech,retarded,hate speech,85.0,"The message contains derogatory language ('retarded') and generalizes negatively about people from specific regions (Europe and North Africa), which can be seen as promoting stereotypes and discrimination."
1178615990491504641_twitter,if i am a faggot why would i be white knighting for a girl you need to fire your continuity department,hate speech,,normal,85.0,The message does not contain any explicit hate speech or derogatory terms directed at a specific group. It appears to be a critique or commentary rather than an expression of hate.
1094842390177894400_twitter,every job in the world exists solely to make a white woman life better,hate speech,white woman,hate speech,85.0,"The message expresses a derogatory and dismissive view towards the contributions of non-white individuals and implies that the value of jobs is solely tied to the benefit of white women, which promotes a racially biased perspective."
1251952054773231616_twitter,lmfao girl its just ghetto and its always alot going on,hate speech,ghetto,normal,85.0,"The message uses the term 'ghetto' which can be interpreted in various contexts. However, it does not contain any explicit hate speech or derogatory language directed at a specific group. It appears to be a casual comment rather than an expression of hate."
15928526_gab,hope she remembered defending the mudslime that instigated the gang rape and murder karma is a bitch,hate speech,mudslime,hate speech,95.0,"The message contains derogatory language ('mudslime') directed at Muslims and implies a violent sentiment regarding a specific incident, which promotes hate against a group based on their religion."
13879478_gab,america always was a country for by and of genetic europeans a white man born in china is not a chinaman just as a mexican anchor baby born in america is not american,hate speech,mexican anchor baby born america is not american,hate speech,85.0,"The message promotes a racial and ethnic hierarchy, suggesting that only individuals of European descent can truly belong to America, which is a discriminatory viewpoint. It implies that people of other ethnic backgrounds, regardless of their birthplace, are not legitimate members of American society."
1210935943395495938_twitter,i fucking hate you yzm 😂,hate speech,fucking hate you,hate speech,85.0,"The message expresses strong hatred towards an individual or group, indicated by the phrase 'i fucking hate you', which is a clear expression of animosity. The use of 'yzm' could imply a specific target, further emphasizing the hateful sentiment."
20162017_gab,backpedaling fails to point out exactly my comments and resumes to nonsensical aussie retarded babbles go choke on a cock you useless wrinkly aussie slag you are th descendants of the bottom feeders among limeys loll,normal,aussie retarded babbles cock wrinkly aussie slag,hate speech,85.0,"The message contains derogatory language directed at Australians, referring to them as 'useless wrinkly aussie slag' and 'descendants of the bottom feeders among limeys.' This language is offensive and promotes negative stereotypes, which qualifies it as hate speech."
4587876_gab,i go to public beaches and see beautiful young women it tiny swimsuits and yet somehow i have managed to never rape anyone that the difference between americans and islamists apparently,normal,somehow i have managed to never rape anyone difference between americans and islamists,hate speech,85.0,"The message implies a negative stereotype about Islamists, suggesting that they are inherently more likely to commit acts of violence or sexual assault compared to Americans. This generalization promotes a harmful narrative about a specific group based on their religion."
21757892_gab,fuck that towelhead terrorist ship him to syria and drop him off a building fucking cuck,normal,fuck towelhead terrorist fucking cuck,hate speech,95.0,"The message contains derogatory language targeting a specific ethnic group ('towelhead') and promotes violence against individuals identified as terrorists, which is characteristic of hate speech."
1144477259425730560_twitter,there were also no mentions of the threats immigrants present to citizens screw israel,hate speech,screw israel,normal,85.0,"The message expresses a critical opinion about immigrants and includes a political statement regarding Israel. While it may reflect a negative sentiment, it does not contain explicit hate speech or derogatory language targeting a specific group."
15731682_gab,besides i am irish white nigger spud nigger shamrock nigger leprechaun nigger potato nigger the nigger list towards the irish is long and creative we worked harder and treated worse than blacks and we dont cry a river over a word,normal,nigger nigger nigger nigger nigger nigger,hate speech,95.0,"The message contains multiple instances of the racial slur 'nigger' used in a derogatory context towards both Black individuals and Irish people. It promotes a harmful narrative by comparing the struggles of different racial groups in a dismissive manner, which is characteristic of hate speech."
1081320994244055040_twitter,that hoe only got time for his friends,hate speech,hoe,normal,85.0,The message does not contain any derogatory language or slurs targeting a specific group. It appears to express a personal opinion about someone's social interactions without promoting hate or discrimination.
9867117_gab,well my dear lgbtq brothers and sisters i do not want to die at the hands of a muslim terrorist and as you are putting my life in danger with your politics i would like to suggest that you all go fuck yourselves,normal,fuck yourselves,hate speech,85.0,"The message expresses hostility towards a specific group (LGBTQ) and associates them with danger from another group (Muslims), suggesting that their political actions are endangering lives. This framing can incite division and hostility, which aligns with hate speech."
1179048638921596928_twitter,ching chong,normal,ching chong,hate speech,95.0,"The phrase 'ching chong' is a derogatory and mocking term often used to stereotype and demean individuals of Asian descent, making it a clear example of hate speech."
1178837672699269126_twitter,dababy security explaining why he knocked out that dyke should not be as funny as it is,normal,dyke,hate speech,85.0,"The term 'dyke' is a derogatory slur used against lesbian women, which contributes to a negative stereotype and promotes hate against the LGBTQ+ community. The context of the message implies violence, which further exacerbates its harmful nature."
4701852_gab,fanbloodytastic by time these leeches are held to account especially the muzzie scum taking  wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏,normal,muzzie scum,hate speech,95.0,"The message contains derogatory terms such as 'leeches' and 'muzzies' directed at Muslims, implying a negative stereotype about their behavior regarding welfare and family size. This language promotes a harmful narrative about a specific group, which qualifies it as hate speech."
22842291_gab,i never thought i would see the day when faggots and niggers are held in a higher regard than myself when the leaders of your own country hate you love them your country is screwed,normal,faggots niggers,hate speech,95.0,"The message contains derogatory terms directed at marginalized groups, specifically using slurs against LGBTQ+ individuals and Black people. It expresses a sentiment of resentment and superiority, which is characteristic of hate speech."
23834135_gab,obama was ghetto bigger so yes,hate speech,ghetto bigger,hate speech,85.0,"The message uses derogatory language ('ghetto') and implies a negative stereotype about a racial or ethnic group, which is characteristic of hate speech."
25465320_gab,reverse it west yorkshire police are so good at their job no child raped by paki muslims on their watch asif,hate speech,paki,hate speech,95.0,"The message contains derogatory terms directed at a specific ethnic and religious group ('paki muslims') and implies a negative stereotype about their involvement in crime, which is characteristic of hate speech."
25250350_gab,that fat fucking dyke pos should indeed be prosecuted and campaign finance violations should be the least of it get her on public indecency charges whatever they can come up with,normal,that fat fucking dyke pos should indeed be prosecuted,hate speech,85.0,"The message contains derogatory language directed at a specific group (using 'dyke' as a slur) and expresses a desire for punitive action against them, which indicates hostility and discrimination."
1142522499831226368_twitter,got into my first car accident 🙄 a bitch was shook,hate speech,bitch,normal,95.0,The message expresses a personal experience about a car accident and does not contain any derogatory language or hate speech towards any individual or group.
10088571_gab,jews are the only enemy in the history of the world that resort to crying its anti semitic to resist my actions boo hoo,normal,jews,hate speech,95.0,"The message expresses a derogatory view of Jews, suggesting they manipulate perceptions of anti-Semitism to avoid accountability for their actions. This aligns with anti-Semitic rhetoric, which is a form of hate speech."
9709168_gab,twitter use to suspend me and when i got back on id lost hundereds of followers they finally banned mebecaue this muslim who threatend potys i reported her to her busness fbi she called my home threatened me i bet she is still on twitter,hate speech,finally banned mebecaue this muslim,normal,85.0,"The message expresses a personal experience regarding being suspended from Twitter and a threat from an individual identified as Muslim. While it mentions a Muslim person, it does not contain derogatory language or promote hate against a group. The focus is on the individual's actions rather than a broader negative sentiment towards Muslims."
18315448_gab,a god dam kike only thinks about sucking babydicks and making believe they holy,normal,kike,hate speech,95.0,"The message contains a derogatory term for Jewish people ('kike') and accuses them of heinous behavior, which is a clear example of hate speech targeting a specific ethnic or religious group."
22149331_gab,matt hale sits in prison due to being framed by an informant edgar steele died in prison after being framed by an informant michael weaver was convicted by a jury on account of his political beliefs for defending himself from nigger carjackers,normal,nigger,hate speech,95.0,"The message contains derogatory language towards Black individuals, specifically using the term 'nigger' in a context that suggests a negative stereotype. This language is offensive and promotes hate against a racial group, which classifies it as hate speech."
12763421_gab,who are these people most of them are jealous angry people from other nations acting out emotionally any american who is parroting the kike line of american identity does not exist should be presumed to be mentally ill if you do not exist then what are you fighting for,normal,kike,hate speech,95.0,"The message contains derogatory language directed at a specific group ('kike'), which is an anti-Semitic slur. It also implies that individuals who hold certain beliefs are mentally ill, which can be seen as dehumanizing and stigmatizing. Overall, the tone and content of the message promote hate against a particular group."
17868129_gab,i can not imagine having to live with this level of cognitive dissonance life is so much easier when you just say fuck it and adopt race realism and white nationalism instead of contradicting yourself a gorillian times over just to make niggers and jews hate you less,normal,niggers and jews hate you less,hate speech,95.0,"The message promotes white nationalism and uses derogatory terms for Black people and Jewish people, which indicates a clear bias and hostility towards these groups."
14602552_gab,fully agree every personal interaction with these queers reinforces what i already knew severe mental illness and obnoxious to boot,normal,queers,hate speech,95.0,"The message expresses a strong negative sentiment towards a specific group (referred to as 'queers') and associates them with severe mental illness, which is derogatory and promotes stigma against that group."
21524231_gab,talk to me when one of the dumb tradthots get shot over their views or something no one gives a shit about some idiot getting detained on muslim grounds anymore this isnt,hate speech,,hate speech,85.0,"The message expresses a dismissive and violent sentiment towards individuals with differing views, particularly targeting a group associated with traditional values ('tradthots') and implying that violence against them would be acceptable. The reference to 'muslim grounds' further suggests a negative bias against Muslims, indicating a broader context of hate speech."
1211743854401064961_twitter,i didn ’ t get a pedicure last rome i got my nails done n now my feet look brazy this is ghetto,hate speech,brazy ghetto,normal,85.0,"The message expresses a personal experience and opinion about a pedicure and uses the term 'ghetto' in a context that seems to describe a style or appearance rather than targeting a specific group or promoting hate. However, the use of 'ghetto' can be sensitive and may imply negative stereotypes, which is why the confidence is not at 100."
27301749_gab,‍ daily reminder that nick the spic is a faggot who gets off on catboy porn pathetic and sad,normal,spic faggot,hate speech,95.0,"The message contains derogatory terms aimed at a specific individual based on their ethnicity ('spic') and sexual orientation ('faggot'). It expresses contempt and dehumanization, which are characteristic of hate speech."
15292851_gab,really i have seen men come together that we are atheist buddast odinist christian hell even morman for one cause survival religion and beliefs go out the window in a fox hole buddy so blow that retarded shit up some one else skirt,hate speech,retarded,normal,85.0,"The message discusses a unifying theme among different religious groups in a survival context. While it uses the term 'retarded' which can be considered derogatory, the overall message does not promote hate against any specific group or individual."
1179075749174792193_twitter,twitter faggot bitch,hate speech,faggot bitch,hate speech,95.0,"The message contains derogatory language ('faggot') that targets a specific group based on sexual orientation, which is a clear indicator of hate speech."
10428925_gab,fuck off we have more than enough muzzies to deal with,normal,muzzies,hate speech,95.0,"The term 'muzzies' is a derogatory slang used to refer to Muslims, and the message expresses a negative sentiment towards them, indicating a desire to exclude or dismiss them. This aligns with hate speech as it targets a specific religious group in a derogatory manner."
19277792_gab,negro felon league ™ is for queers who like wearing the names of niggers on their backs while watching said apes throw balls around and watching poz laced commercials from corporate america,normal,niggers,hate speech,95.0,"The message contains derogatory terms and slurs aimed at Black individuals, as well as homophobic language. It expresses disdain for a specific group and promotes negative stereotypes, which qualifies it as hate speech."
4037364_gab,aloha akbatman she not the immigrant we need or the immigrant we want but she the immigrant we have got so let beat her because she can take it,normal,,hate speech,85.0,"The message contains derogatory language towards immigrants and suggests violence against them, which aligns with hate speech characteristics."
19227442_gab,i d rather get fisted by a nigger tbh,hate speech,nigger,hate speech,95.0,"The message contains a racial slur directed at Black individuals, which is derogatory and promotes hate. The use of such language is indicative of hate speech."
1178273282610667522_twitter,let me go and watch power because you niggers have no respect,normal,niggers,hate speech,95.0,"The message contains a derogatory term 'niggers' which is a racial slur directed at Black individuals, indicating a clear expression of hate and disrespect towards a specific racial group."
24590941_gab,pipe down nigger lover,normal,nigger,hate speech,95.0,"The message contains a derogatory term directed at individuals who support or associate with Black people, which is a clear indication of hate speech. The phrase 'nigger lover' is a racial slur that is widely recognized as offensive and derogatory."
16883713_gab,when america was white no ghettos no handouts almost no taxes no men of color trying to have sex with your  year old daughter almost no crime the left says the white communities must die out,normal,ghettos no men of color trying to have sex with your  year old daughter,hate speech,95.0,"The message expresses a racist sentiment by implying that communities of color are responsible for crime and societal issues, while glorifying a past that is racially exclusive. It promotes a harmful stereotype and suggests that the presence of people of color is detrimental to society."
1093632039864160257_twitter,he ’ delusional trying to say that jews built the pyramids what a joke,hate speech,jews,hate speech,85.0,"The message expresses a derogatory view towards Jews by mocking a belief associated with them, which can be interpreted as promoting negative stereotypes."
17639970_gab,i want you goddamned boomer cucks to tell me how we are all the same and beaners are natural conservatives,normal,beaners,hate speech,85.0,"The message contains derogatory terms ('boomer cucks' and 'beaners') that target specific groups based on age and ethnicity, which is characteristic of hate speech. The use of 'goddamned' also adds a tone of aggression."
1178628912663805957_twitter,the original queer eye for the straight guy is iconic those netflix faggots could never,hate speech,faggots,hate speech,85.0,"The message uses a derogatory term 'faggots' to refer to individuals associated with the Netflix show, which is considered hate speech as it targets a specific group based on sexual orientation."
7166798_gab,yeah i also agree that the middle eastern ones are coming mostly to hungary but these other refugees away from mudslimes are all schengen regions why bother applying for refugee status when you can just move it perfectly legal,hate speech,refugees away from mudslimes,hate speech,85.0,"The message contains derogatory language ('mudslimes') directed at Middle Eastern individuals, which is indicative of hate speech. It expresses a negative sentiment towards a specific group based on their ethnicity or nationality."
21359601_gab,does not know the difference between latino and spic but thinks it an authority also thinks it smart 🤔,hate speech,spic,hate speech,85.0,"The message uses derogatory language ('spic') to refer to a group of people, which is a clear indication of hate speech. It also implies a negative stereotype about the intelligence of individuals from that group."
1115697903681527808_twitter,if you ’ re an army that is republican you are not welcome here we hate you,normal,hate you,hate speech,85.0,"The message expresses hatred towards a specific political group (Republicans) and indicates that they are not welcome, which aligns with hate speech characteristics."
15972271_gab,we need to go back and beat them and i mean hard so hard that the muzzies are to scared to ever step up in the world again crush their spirits now and brutally at that,normal,muzzies,hate speech,95.0,"The message expresses a violent intent towards a specific group (Muslims), advocating for physical harm and brutality, which qualifies it as hate speech."
1271648699286945793_twitter,society is sukin on your dick and since i got a pussy i am a bitch,hate speech,bitch,normal,85.0,The message expresses a personal opinion about societal perceptions and does not contain any derogatory terms or targeted hate against a specific group. It reflects frustration but does not promote hate or violence.
18948105_gab,you are officially a nigger or jew or oven middle class if you use the phrase white trash,normal,nigger jew,hate speech,95.0,"The message contains derogatory terms aimed at specific racial and ethnic groups, which is characteristic of hate speech. The use of slurs like 'nigger' and 'jew' indicates a clear intent to demean and dehumanize individuals based on their race or ethnicity."
27471577_gab,brits you should maybe storm the prison britainsbastile except leave the mudslimes in there,normal,mudslimes,hate speech,95.0,"The message contains derogatory language towards Muslims ('mudslimes') and suggests violent action against a group of people, which qualifies it as hate speech."
