id,clean_message,majority_vote,relevant_pieces,classification,confidence,reasoning
1083042797995941889_twitter,take drugs and rape sluts,hate speech,sluts,hate speech,0.95,"The message promotes violence and sexual assault against women, using derogatory language that dehumanizes individuals. This clearly falls under hate speech as it incites harm and expresses hatred towards a specific group."
1079795475560218626_twitter,treat the immigrants as drug traffickers they will soon have a change of mind 👍,hate speech,immigrants drug traffickers,hate speech,0.85,"The message promotes a negative stereotype about immigrants by equating them with drug traffickers, which is a harmful generalization. It suggests a punitive attitude towards immigrants and implies that they are inherently involved in criminal activity, which can incite discrimination and hostility."
10682437_gab,puppy no i was alone i am not a nazi white supremacist or any other type of person i am  southern i support traditional values and all things with southern culture i support anything that saves confederate monuments and history,hate speech,,normal,0.8,"The message expresses a personal identity and cultural values related to Southern heritage. While it mentions support for Confederate monuments, which can be controversial, it does not explicitly promote hate or violence against any group. The overall tone suggests a defense of personal beliefs rather than an attack on others."
13948927_gab,cia nigger apologizes to pol for the poz,normal,nigger,hate speech,0.95,"The message contains a racial slur ('nigger') which is a derogatory term used to demean individuals based on their race. Additionally, the context suggests a negative connotation towards a specific group, which further classifies it as hate speech."
1225858073270476800_twitter,space is gay and so are you,hate speech,gay,hate speech,0.85,"The message uses the term 'gay' in a derogatory context, implying a negative connotation towards both 'space' and the recipient. This can be interpreted as an insult based on sexual orientation, which qualifies it as hate speech."
9551353_gab,the catholic church stopped being a bulwark against western rot when the church became infested with homosexuals it is now just as if not more corrupted than the government bureaucracies of western nations and has sunk so low we are hearing stories of depraved gay orgies on sacred church ground,normal,rot when the church became infested with homosexuals depraved gay orgies on sacred church ground,hate speech,0.85,"The message expresses derogatory views towards homosexuals and the Catholic Church, suggesting that the presence of homosexuals has led to corruption and moral decay. This language promotes negative stereotypes and incites animosity towards a specific group based on sexual orientation."
18529253_gab,fun fact did you know kardashian is armenian for nigger lover,normal,nigger,hate speech,0.95,"The message contains a derogatory term that is racially charged and offensive. It targets a specific ethnic group and uses a slur, which qualifies it as hate speech."
13455893_gab,new rule in all competitive shows baking dancing or other let paki or nigger token win in order to win public support and hide our true racist feeling for coloureds british broadcasting rules and regulations,normal,paki nigger,hate speech,0.95,"The message contains derogatory terms such as 'paki' and 'nigger', which are widely recognized as hate speech aimed at specific racial and ethnic groups. Additionally, the message expresses a sentiment that promotes racism and discrimination against 'coloureds', indicating a clear intent to demean and dehumanize individuals based on their race."
1100389613074558976_twitter,not low class they enjoy to get fucked by muslims,normal,fucked by muslims,hate speech,0.85,The message contains derogatory language that targets a specific religious group (Muslims) and implies a negative stereotype. This type of language is often associated with hate speech as it promotes discrimination and hostility.
12711894_gab,jew faggot milo is king of the alt right great it not the alt right anymore,normal,faggot,hate speech,0.95,"The message contains derogatory terms directed at a specific group (using 'jew' and 'faggot'), which are considered hate speech. It also references a political identity ('alt right') in a context that suggests hostility."
1179093647867949056_twitter,this is a fucking disgrace shameless cunts,hate speech,cunts,hate speech,0.85,"The message contains aggressive and derogatory language directed at a group, using profanity and insults that suggest a strong disdain, which aligns with characteristics of hate speech."
5942714_gab,are you talking about sand niggers,normal,sand niggers,hate speech,0.95,"The term 'sand niggers' is a derogatory and racist slur directed at people of Middle Eastern descent, which qualifies as hate speech due to its offensive nature and intent to demean a specific racial group."
21217776_gab,imagine being so disconnected that youd think a dickies work shirt and some black pants are comparable to a fur suit imagine crying about optics while writing for a site that screams nigger in every title like a  year old on xbox love who d just found 4 chan,hate speech,nigger,hate speech,0.95,"The message contains a racial slur ('nigger') and expresses derogatory sentiments towards a group, indicating a clear intent to demean and insult based on race. The use of such language and the context suggest a strong presence of hate speech."
6817112_gab,sweden suicide is a foregone conclusion no amount of tweeting raging philosophizing or praying is going to do diddly squat for them so why bother our energy is better spent arming and insulating ourselves from the muzzrats here,normal,muzzrats,hate speech,0.85,"The message contains derogatory language ('muzzrats') directed at a specific group, which is a form of hate speech. It expresses a negative sentiment towards a community and suggests a need for separation or defense against them, indicating hostility."
1090673738545283074_twitter,i do not listen to niggershitbullshit,normal,niggershitbullshit,hate speech,0.95,"The message contains a derogatory term that is racially charged and offensive, which qualifies it as hate speech."
21836106_gab,mfw i m trying to write an important term paper and some affirmative action ass hole starts blasting nigger music outside the window,normal,nigger,hate speech,0.95,"The message contains derogatory language ('nigger music') that is racially offensive and promotes negative stereotypes about a racial group. Additionally, it expresses hostility towards individuals associated with affirmative action, which can be interpreted as a broader attack on marginalized communities."
17074293_gab,agreed and riyadh and any another place in that cesspool they congregate as i said level them both if we ever want world peace there are a couple billion fundie raghead that gotta go,normal,cesspool level them both couple billion fundie raghead that gotta go,hate speech,0.95,"The message contains derogatory terms such as 'fundie raghead' which are offensive and dehumanizing towards a specific group of people, indicating a strong bias and incitement to violence against them. The call to 'level them both' suggests a desire for harm, further categorizing it as hate speech."
1120883481549189120_twitter,u spell it like a retard,hate speech,retard,hate speech,0.85,"The term 'retard' is considered derogatory and offensive when used to describe someone's intelligence or abilities. This language promotes stigma against individuals with intellectual disabilities, which qualifies it as hate speech."
25552005_gab,no that can not be we all know that muslim knife attacks have nothing to fo with religion,hate speech,muslim knife attacks have nothing to fo with religion,hate speech,0.85,"The message generalizes and stigmatizes a religious group (Muslims) by associating them with violence (knife attacks), which can perpetuate harmful stereotypes and incite hatred against that group."
24642826_gab,as evidenced by the fact that they do not attack nigger toxic masculinity like rappers ball players with the same ferocity with which they attack toxic white men,normal,nigger,hate speech,0.95,"The message contains a racial slur ('nigger') which is a derogatory term aimed at Black individuals. This term is widely recognized as hate speech due to its historical context and the harm it perpetuates. Additionally, the message contrasts the treatment of different racial groups in a way that promotes division and hostility."
24226678_gab,always thought that nigger was a faggot,normal,nigger faggot,hate speech,0.95,"The message contains derogatory terms that are widely recognized as hate speech. The use of 'nigger' is a racial slur directed at Black individuals, and 'faggot' is a homophobic slur aimed at LGBTQ+ individuals. The combination of these terms expresses hate and discrimination against both racial and sexual minorities."
16355936_gab,america is supposed to be home to free speech except there is one problem most of the platforms are privately owned by jews and the jews could not care less about your free speech wake up white people the jews control what you see and hear be vigilant,normal,jews control what you see and hear,hate speech,0.95,"The message contains anti-Semitic rhetoric, suggesting that Jewish people control media and free speech, which perpetuates harmful stereotypes and incites division based on ethnicity."
14095649_gab,if they are seeking asylum from a terrible mussie country why then are they working so hard to turn these gracious countries into the very mussie countries they claim to be fleeing we all know that answer immediately,normal,mussie mussie,hate speech,0.95,"The message contains derogatory language ('mussie') aimed at a specific religious or ethnic group, implying that asylum seekers are a threat to the countries they are fleeing to. This promotes negative stereotypes and incites division, which qualifies it as hate speech."
1178251992801533952_twitter,mohammad bin salman al saud ordered the bone sawing of an american journalist i said only thing i wanna see or hear from that camel jockey prince is screams bone sawing him up live on t.v. and twitter gives me  hrs in das hole damn snowflakes,normal,camel jockey,hate speech,0.95,"The message contains derogatory language ('camel jockey') aimed at a specific individual based on their ethnicity, which is a clear indicator of hate speech. Additionally, it expresses a violent desire towards that individual, further reinforcing its classification as hate speech."
1079507754719559680_twitter,where in new york was this taken white supremist nazi radical evangelical bigoted pos road rage waiting to happen,hate speech,nazi,hate speech,0.85,"The message contains derogatory terms such as 'white supremist', 'nazi', and 'bigoted', which are used to label and dehumanize individuals or groups based on their beliefs or race. The overall tone is aggressive and promotes hostility."
1219499223189721088_twitter,“ pick that cotton negro ” or whatever massa said,normal,pick that cotton negro massa,hate speech,0.95,"The message contains a racial slur ('negro') and references to slavery ('pick that cotton' and 'massa'), which are derogatory and dehumanizing towards Black individuals. This language promotes racial stereotypes and is considered hate speech."
12167695_gab,even worse i have read comments defending this vid stating the message is anti violence against all stfu with that noise,hate speech,stfu with that noise,normal,0.85,"The message expresses frustration with comments defending a video, but it does not contain any derogatory language or promote violence against any group. It appears to be a critique rather than hate speech."
18195956_gab,kick all illegal immigrants out they do not belong here they have no business being here we owe them nothing,normal,kick all illegal immigrants out they do not belong here they have no business being here we owe them nothing,hate speech,0.85,"The message expresses a strong negative sentiment towards illegal immigrants, suggesting they do not belong and implying they are undeserving of rights or support. This language can incite hostility and discrimination against a specific group based on their immigration status."
23169645_gab,idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring   mildly retarded somali to canada to repopulate canada with the dumbest people on the face of the earth,normal,retarded,hate speech,0.95,"The message contains derogatory language targeting specific individuals and groups, including references to their nationality and religion in a dehumanizing manner. It promotes negative stereotypes about Somali people and Muslims, suggesting they are inferior or 'dumb,' which aligns with hate speech."
1105655062599208960_twitter,suck out you faggot,hate speech,faggot,hate speech,0.95,"The message contains a derogatory term 'faggot', which is a slur used against LGBTQ+ individuals. The phrase 'suck out' can also imply a violent or aggressive action, further contributing to the hate speech classification."
19792641_gab,ovomits a nigger and a half nigger,normal,nigger nigger,hate speech,0.95,"The message contains racial slurs that are derogatory and dehumanizing towards Black individuals, which qualifies it as hate speech."
15835814_gab,so he admits to his inner retard that can not cope with facts not aligning with his feelinz priceless,hate speech,retard,hate speech,0.85,"The term 'retard' is considered derogatory and offensive towards individuals with intellectual disabilities. The message also implies a negative judgment about someone's mental capacity, which contributes to its classification as hate speech."
4102150_gab,they resisted it for  years along with the nubeans in the south of sudan that is a beautiful and remarkable history of resisting evil i gotta tell u u have to read genesis   the story of ishmael and u will see arabs today perfectly described,hate speech,arabs today perfectly described,normal,0.85,"The message discusses historical resistance and references biblical stories without promoting hate or violence against any group. While it mentions Arabs, it does not contain derogatory language or incite animosity."
17188614_gab,years of inbreeding make their hasbara basically retarded it a kike thing,normal,kike,hate speech,0.95,"The message contains derogatory language and slurs directed at a specific ethnic group, which is indicative of hate speech. The term 'kike' is a known anti-Semitic slur, and the overall tone of the message promotes negative stereotypes and dehumanization."
8198864_gab,hillary clinton with dyke roomie back in the latter  still a rotten bitch today,normal,dyke bitch,hate speech,0.85,"The message contains derogatory language ('dyke' and 'rotten bitch') aimed at Hillary Clinton, which is disrespectful and dehumanizing. Such language is often associated with hate speech, particularly against women and LGBTQ+ individuals."
1178170242872283137_twitter,years ago i do not believe the best of europeans anticipated the slave trade on the atlantic nor did they forsee the current pillaging of their hard work by the faggots now in some kind of power,normal,faggots,hate speech,0.85,"The message contains derogatory language ('faggots') directed at a specific group, which is considered hate speech. Additionally, it expresses a negative sentiment towards a group in power, implying a sense of resentment and hostility."
23877736_gab,my goal on this site is expose the filthy disgusting hoodrat nigger bitch in all of her whoredom and debauchery stand by more truth coming,normal,hoodrat nigger bitch,hate speech,0.95,"The message contains derogatory and racist language, specifically targeting an individual with racial slurs and dehumanizing terms. This clearly falls under hate speech as it promotes hatred and discrimination based on race."
12487417_gab,come on please you forgot you are from europe you think north africa is black you take pre colombians for latinos then for indians are you conscient you are a retarded just as any yankee,hate speech,retarded,hate speech,0.85,"The message contains derogatory language ('retarded') and generalizations about people from specific regions (Europe, North Africa, and the Americas), which can be seen as promoting negative stereotypes and discrimination."
1178615990491504641_twitter,if i am a faggot why would i be white knighting for a girl you need to fire your continuity department,hate speech,,hate speech,0.85,"The term 'faggot' is a derogatory slur used against LGBTQ+ individuals, which qualifies the message as hate speech. The context suggests a dismissive attitude towards a marginalized group, further supporting this classification."
1094842390177894400_twitter,every job in the world exists solely to make a white woman life better,hate speech,white woman,hate speech,0.85,"The message expresses a derogatory and dismissive view towards the contributions of various groups, implying that the purpose of all jobs is to serve a specific demographic, which can be seen as promoting a harmful stereotype."
1251952054773231616_twitter,lmfao girl its just ghetto and its always alot going on,hate speech,ghetto,hate speech,0.75,"The term 'ghetto' can be considered derogatory and is often used to stereotype and demean certain communities, particularly those associated with lower socioeconomic status or specific racial groups. The context suggests a negative connotation, which aligns with hate speech."
15928526_gab,hope she remembered defending the mudslime that instigated the gang rape and murder karma is a bitch,hate speech,mudslime,hate speech,0.95,"The message contains derogatory language ('mudslime') directed at a specific group, which is a clear indicator of hate speech. Additionally, it references a violent crime in a way that promotes hatred and dehumanization towards that group."
13879478_gab,america always was a country for by and of genetic europeans a white man born in china is not a chinaman just as a mexican anchor baby born in america is not american,hate speech,mexican anchor baby born america is not american,hate speech,0.85,"The message promotes a racial hierarchy by asserting that only individuals of European descent are truly American, while dismissing the identities of individuals from other racial and ethnic backgrounds. This exclusionary rhetoric is characteristic of hate speech."
1210935943395495938_twitter,i fucking hate you yzm 😂,hate speech,fucking hate you,hate speech,0.85,"The message expresses strong negative emotions towards an individual ('I fucking hate you'), which can be interpreted as hate speech. The use of profanity and the context of the statement contribute to its aggressive tone."
20162017_gab,backpedaling fails to point out exactly my comments and resumes to nonsensical aussie retarded babbles go choke on a cock you useless wrinkly aussie slag you are th descendants of the bottom feeders among limeys loll,normal,aussie retarded babbles cock wrinkly aussie slag,hate speech,0.95,"The message contains derogatory language directed at Australians, using terms like 'retarded' and 'slag', which are offensive and dehumanizing. It also implies a negative stereotype about Australians by referring to them as 'descendants of the bottom feeders among limeys', which is a racist and xenophobic remark."
4587876_gab,i go to public beaches and see beautiful young women it tiny swimsuits and yet somehow i have managed to never rape anyone that the difference between americans and islamists apparently,normal,somehow i have managed to never rape anyone difference between americans and islamists,hate speech,0.85,"The message contains a comparison that implies a negative stereotype about a group (Islamists) in relation to Americans, suggesting that one group is inherently more moral or civilized than the other. This kind of generalization can perpetuate harmful stereotypes and incite division."
21757892_gab,fuck that towelhead terrorist ship him to syria and drop him off a building fucking cuck,normal,fuck towelhead terrorist fucking cuck,hate speech,0.95,"The message contains derogatory terms directed at a specific ethnic or religious group ('towelhead' and 'terrorist'), promotes violence ('ship him to Syria and drop him off a building'), and uses aggressive language ('fucking cuck'). This clearly indicates hate speech."
1144477259425730560_twitter,there were also no mentions of the threats immigrants present to citizens screw israel,hate speech,screw israel,hate speech,0.85,"The message contains a derogatory statement about immigrants, implying they pose a threat to citizens, which can incite fear and hostility. Additionally, the phrase 'screw Israel' can be interpreted as an expression of animosity towards a specific group, contributing to a negative and potentially harmful sentiment."
15731682_gab,besides i am irish white nigger spud nigger shamrock nigger leprechaun nigger potato nigger the nigger list towards the irish is long and creative we worked harder and treated worse than blacks and we dont cry a river over a word,normal,nigger nigger nigger nigger nigger nigger,hate speech,0.95,"The message contains multiple instances of the racial slur 'nigger' used in a derogatory context towards both Black individuals and Irish people. It promotes a harmful stereotype and compares the struggles of different racial groups in a dismissive manner, which is characteristic of hate speech."
1081320994244055040_twitter,that hoe only got time for his friends,hate speech,hoe,normal,0.85,The message expresses a personal opinion about someone's social behavior but does not contain any derogatory language targeting a specific group or promoting violence or discrimination.
9867117_gab,well my dear lgbtq brothers and sisters i do not want to die at the hands of a muslim terrorist and as you are putting my life in danger with your politics i would like to suggest that you all go fuck yourselves,normal,fuck yourselves,hate speech,0.85,"The message expresses hostility towards a specific group (LGBTQ community) and includes a violent sentiment towards another group (Muslims), suggesting that the speaker feels endangered by them. The use of derogatory language ('go fuck yourselves') further indicates aggression and contempt, which aligns with hate speech."
1179048638921596928_twitter,ching chong,normal,ching chong,hate speech,0.95,"The phrase 'ching chong' is a derogatory term that mocks and stereotypes individuals of Asian descent, making it a clear example of hate speech."
1178837672699269126_twitter,dababy security explaining why he knocked out that dyke should not be as funny as it is,normal,dyke,hate speech,0.85,"The term 'dyke' is a derogatory slur used against lesbian individuals, which contributes to a negative stereotype and promotes hate against the LGBTQ+ community. The context of the message also implies violence, which further exacerbates the hate speech nature."
4701852_gab,fanbloodytastic by time these leeches are held to account especially the muzzie scum taking  wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏,normal,muzzie scum,hate speech,0.95,"The message contains derogatory terms such as 'leeches' and 'muzzies,' which are used to dehumanize and insult a specific group, likely referring to Muslims. Additionally, the phrase suggests negative stereotypes about breeding and welfare, which further promotes hate against this community."
22842291_gab,i never thought i would see the day when faggots and niggers are held in a higher regard than myself when the leaders of your own country hate you love them your country is screwed,normal,faggots niggers,hate speech,0.95,"The message contains derogatory and offensive slurs directed at specific groups, which is characteristic of hate speech. The use of terms like 'faggots' and 'niggers' is explicitly hateful and promotes discrimination against LGBTQ+ individuals and Black people."
23834135_gab,obama was ghetto bigger so yes,hate speech,ghetto bigger,hate speech,0.85,"The term 'ghetto' is often used in a derogatory manner to stereotype and demean individuals, particularly those from marginalized communities. The context of the message suggests a negative connotation towards Obama, which can be interpreted as racially charged language."
25465320_gab,reverse it west yorkshire police are so good at their job no child raped by paki muslims on their watch asif,hate speech,paki,hate speech,0.85,"The message contains derogatory language towards a specific ethnic and religious group ('paki muslims'), which is a clear indication of hate speech. The phrase implies a negative stereotype and promotes hostility against that group."
25250350_gab,that fat fucking dyke pos should indeed be prosecuted and campaign finance violations should be the least of it get her on public indecency charges whatever they can come up with,normal,that fat fucking dyke pos should indeed be prosecuted,hate speech,0.95,"The message contains derogatory language targeting a specific individual based on their sexual orientation ('dyke') and body type ('fat'), which is indicative of hate speech. The use of aggressive language ('fat fucking dyke pos') suggests a strong animosity towards the individual, further supporting the classification as hate speech."
1142522499831226368_twitter,got into my first car accident 🙄 a bitch was shook,hate speech,bitch,normal,0.85,"The message expresses a personal experience about a car accident and uses informal language. While it includes a derogatory term ('bitch'), it does not target a specific group or promote hate against any individual or community."
10088571_gab,jews are the only enemy in the history of the world that resort to crying its anti semitic to resist my actions boo hoo,normal,jews,hate speech,0.95,"The message contains derogatory language directed at a specific religious and ethnic group, suggesting that Jews are manipulative victims. This perpetuates harmful stereotypes and promotes animosity towards Jews, which qualifies it as hate speech."
9709168_gab,twitter use to suspend me and when i got back on id lost hundereds of followers they finally banned mebecaue this muslim who threatend potys i reported her to her busness fbi she called my home threatened me i bet she is still on twitter,hate speech,finally banned mebecaue this muslim,hate speech,0.85,"The message contains elements that target a specific religious group (Muslims) and implies a negative sentiment towards them. The mention of being threatened and the context of reporting someone based on their religion suggests a potential bias or hostility, which aligns with hate speech."
18315448_gab,a god dam kike only thinks about sucking babydicks and making believe they holy,normal,kike,hate speech,0.95,"The message contains derogatory language targeting a specific ethnic or religious group, using a slur ('kike') and making offensive generalizations. This clearly falls under hate speech as it promotes hatred and discrimination."
22149331_gab,matt hale sits in prison due to being framed by an informant edgar steele died in prison after being framed by an informant michael weaver was convicted by a jury on account of his political beliefs for defending himself from nigger carjackers,normal,nigger,hate speech,0.95,The message contains a racial slur ('nigger') which is a derogatory term used to demean and dehumanize individuals based on their race. This language is indicative of hate speech as it promotes racial hatred and discrimination.
12763421_gab,who are these people most of them are jealous angry people from other nations acting out emotionally any american who is parroting the kike line of american identity does not exist should be presumed to be mentally ill if you do not exist then what are you fighting for,normal,kike,hate speech,0.95,"The message contains derogatory language ('kike') directed at a specific ethnic group, which is a clear indicator of hate speech. Additionally, it expresses hostility towards individuals based on their nationality and promotes a negative stereotype about them, further reinforcing its classification as hate speech."
17868129_gab,i can not imagine having to live with this level of cognitive dissonance life is so much easier when you just say fuck it and adopt race realism and white nationalism instead of contradicting yourself a gorillian times over just to make niggers and jews hate you less,normal,niggers and jews hate you less,hate speech,0.95,"The message contains derogatory terms and promotes harmful ideologies such as white nationalism and race realism, which are associated with hate speech. The use of racial slurs and the context of the message indicate a strong bias against specific racial and ethnic groups."
14602552_gab,fully agree every personal interaction with these queers reinforces what i already knew severe mental illness and obnoxious to boot,normal,queers,hate speech,0.95,"The message contains derogatory language towards a specific group ('queers') and implies that they are mentally ill, which is a harmful stereotype. This promotes negative attitudes and discrimination against LGBTQ+ individuals."
21524231_gab,talk to me when one of the dumb tradthots get shot over their views or something no one gives a shit about some idiot getting detained on muslim grounds anymore this isnt,hate speech,,hate speech,0.85,"The message contains derogatory terms like 'dumb tradthots' and expresses a violent sentiment towards a specific group, indicating a clear disdain and incitement against individuals based on their views and identity."
1211743854401064961_twitter,i didn ’ t get a pedicure last rome i got my nails done n now my feet look brazy this is ghetto,hate speech,brazy ghetto,normal,0.85,"The message expresses a personal opinion about a pedicure and uses informal language. While the term 'ghetto' can have negative connotations, in this context it appears to be used to describe a personal experience rather than targeting a specific group or promoting hate."
27301749_gab,‍ daily reminder that nick the spic is a faggot who gets off on catboy porn pathetic and sad,normal,spic faggot,hate speech,0.95,"The message contains derogatory terms aimed at an individual based on their ethnicity ('spic') and sexual orientation ('faggot'). It also includes demeaning language that targets personal interests in a mocking manner, which contributes to the overall hateful tone."
15292851_gab,really i have seen men come together that we are atheist buddast odinist christian hell even morman for one cause survival religion and beliefs go out the window in a fox hole buddy so blow that retarded shit up some one else skirt,hate speech,retarded,hate speech,0.85,"The message contains derogatory language ('retarded') and promotes a divisive attitude towards different religious beliefs. It suggests a dismissive and aggressive stance towards individuals based on their beliefs, which can be classified as hate speech."
1179075749174792193_twitter,twitter faggot bitch,hate speech,faggot bitch,hate speech,0.95,The message contains derogatory terms that are commonly used to demean and insult individuals based on their sexual orientation. The use of 'faggot' is particularly offensive and is widely recognized as hate speech.
10428925_gab,fuck off we have more than enough muzzies to deal with,normal,muzzies,hate speech,0.95,"The message contains derogatory language ('muzzies') directed at a specific religious or ethnic group, which is a clear indicator of hate speech. The phrase suggests hostility and a desire to dismiss or dehumanize individuals based on their identity."
19277792_gab,negro felon league ™ is for queers who like wearing the names of niggers on their backs while watching said apes throw balls around and watching poz laced commercials from corporate america,normal,niggers,hate speech,0.95,"The message contains multiple derogatory terms and slurs aimed at specific racial and sexual groups, which promotes hate and discrimination. The use of terms like 'niggers' and 'queers' in a derogatory context, along with dehumanizing language such as 'apes', clearly indicates hate speech."
4037364_gab,aloha akbatman she not the immigrant we need or the immigrant we want but she the immigrant we have got so let beat her because she can take it,normal,,hate speech,0.85,"The message contains derogatory language towards an immigrant, suggesting violence ('let beat her') and implying that the individual is undesired or inferior. This promotes hostility and discrimination against a specific group."
19227442_gab,i d rather get fisted by a nigger tbh,hate speech,nigger,hate speech,0.95,"The message contains a racial slur that is derogatory and offensive towards a specific racial group, which qualifies it as hate speech."
1178273282610667522_twitter,let me go and watch power because you niggers have no respect,normal,niggers,hate speech,0.95,The message contains a racial slur ('niggers') which is derogatory and dehumanizing towards a specific racial group. This language is considered hate speech as it promotes discrimination and hostility.
24590941_gab,pipe down nigger lover,normal,nigger,hate speech,0.95,"The message contains a racial slur ('nigger') which is derogatory and offensive, targeting individuals based on their race. The phrase 'nigger lover' is historically used to demean and dehumanize those who show affection or support for Black individuals, further indicating hate speech."
16883713_gab,when america was white no ghettos no handouts almost no taxes no men of color trying to have sex with your  year old daughter almost no crime the left says the white communities must die out,normal,ghettos no men of color trying to have sex with your  year old daughter,hate speech,0.85,"The message contains racially charged language that promotes negative stereotypes about people of color and suggests a desire for the exclusion or eradication of certain racial groups. It implies that white communities are superior and expresses hostility towards non-white individuals, which qualifies it as hate speech."
1093632039864160257_twitter,he ’ delusional trying to say that jews built the pyramids what a joke,hate speech,jews,hate speech,0.85,"The message contains derogatory language towards a specific group (Jews) and perpetuates a harmful stereotype, which qualifies it as hate speech."
17639970_gab,i want you goddamned boomer cucks to tell me how we are all the same and beaners are natural conservatives,normal,beaners,hate speech,0.85,"The message contains derogatory terms such as 'boomer' and 'cucks', which are used to insult specific groups. Additionally, the term 'beaners' is a pejorative term for people of Hispanic descent, indicating a negative stereotype. The overall tone is aggressive and dismissive towards certain demographics, which aligns with hate speech."
1178628912663805957_twitter,the original queer eye for the straight guy is iconic those netflix faggots could never,hate speech,faggots,hate speech,0.85,"The use of the term 'faggots' is a derogatory slur aimed at the LGBTQ+ community, which qualifies the message as hate speech. The context suggests a negative comparison that further emphasizes disdain towards a specific group."
7166798_gab,yeah i also agree that the middle eastern ones are coming mostly to hungary but these other refugees away from mudslimes are all schengen regions why bother applying for refugee status when you can just move it perfectly legal,hate speech,refugees away from mudslimes,hate speech,0.85,"The message contains derogatory language ('mudslimes') directed at a specific group, which is indicative of hate speech. It expresses a negative sentiment towards Middle Eastern refugees and implies a discriminatory view against them."
21359601_gab,does not know the difference between latino and spic but thinks it an authority also thinks it smart 🤔,hate speech,spic,hate speech,0.85,"The message uses derogatory language ('spic') to refer to a group of people, which is considered hate speech. It also implies a negative stereotype about someone's intelligence based on their ethnicity."
