id,clean_message,majority_vote,relevant_pieces
1080357768173740032_twitter,diac detention center is correspond to the same place equally in the transgender and heterosexuals also gay diac,hate speech,transgender heterosexuals gay
26036512_gab,the pentagon is like a street nigger constantly bumming cigarettes spare change,normal,nigger
1164801468286660610_twitter,agree with ananya baby every hindu muslim sikh isai should travel in economy class sonam kapoor,hate speech,hindu muslim sikh isai should travel in economy class
18546522_gab,hilarious insult i just saw on pol if i had a satoshi for every time you shills shitposters made a dumb frankpost i would be able to afford a helicopter off the deep web and throw each and every one of you insufferable faggots off into the middle of the ocean,hate speech,shitposters dumb insufferable faggots
1176323489801916418_twitter,i ’ m gay so if my man flirting or cheating with a bitch i think is ugly he ’ bugging lmao,hate speech,gay bitch
1274808066270203906_twitter,amaka so you are now in a man house because of foodstuffs you are no longer lesbian,hate speech,
1178353812307922946_twitter,subtly homophobic news story this child is gay twitter influencer who still shits himself thoughts 😳 🤔 mike pence himself i like gays and even have a faggot friend but this is too much,hate speech,
16135672_gab,the nigger is a true snake charmer,normal,nigger
7371474_gab,they all look like dykes too i am sure that just a coincidence,normal,dykes
19085590_gab,ben is cool but he is still a nigger,normal,nigger
19795578_gab,imagine the riots if people actually got food boxes instead of ebt cards every ghetto in america would look like ferguson,normal,ghetto
23100454_gab,first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate,normal,white bitches sucking black cocks
20483029_gab,i think it worse than that it is almost like the campaign to legalise homosexuality in the early  they are wanting to make it normal it only took the queers until about,normal,
14463649_gab,nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women,normal,nigger
18490131_gab,ah k white nationalism is perfect and infallible and you are a cuck faggot who takes it up the ass from blacks if you disagree in any way that seems to cover it,normal,cuck faggot
13379296_gab,lol trump is gutting that nigger bitch like a carp,normal,nigger bitch
8922784_gab,ann coulter  this daily trump melodrama is worth it only if he really going to build the wall cut off muslim refugees and deport illegals,hate speech,cut off muslim refugees and deport illegals
24409503_gab,because british men are cuckolds and too cowardly to do what needed it quite pathetic if that happened to my daughter or sister there d be a tribes worth of sand niggers finding out there no virgins waiting for them,hate speech,sand niggers
1178537088754622464_twitter,bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting,normal,
1178842919773581312_twitter,not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in,normal,sister banging redneck white trash
16434890_gab,intense white male listening is just as threatening and violent as the white male gaze stop listening at us,hate speech,white male white male
11619975_gab,oh we got somebody trying to defend the murderous negro community and the drug dealing hispanic community you are also defending those mongrels the islam they say white people are all racist and we can only be racist then their stereotype apply as well,hate speech,murderous negro community drug dealing hispanic community mongrels the islam
22084298_gab,the attention whore will kill canadians just to gain a seat on the moslem run un,normal,
1091427048755732482_twitter,i have nothing against blacks asians hispanics mixed but if you include them in movies or video games it forced diversity 😡 😡 😡 😡,hate speech,blacks asians hispanics mixed
14010801_gab,bare naked islam brought to you by the bare naked ladies,normal,bare naked islam
4294338_gab,oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs,normal,gay rainbow flag irrelevant termagants with empty wombs
1178517325420679168_twitter,you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu 🖕 🏽 fuckin faggot,normal,fuckin faggot
15354084_gab,that sound you hear in the distance is the 2 nd civil war approaching texas state student paper ran a pro white genocide article ontologically speaking white death will mean liberation for all … until then remember this i hate you because you should not exist,normal,pro white genocide
11580960_gab,what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy,normal,nigger fag
27758571_gab,only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected,normal,shitskin
24235305_gab,based hot jew andrew mix with asians anglin,hate speech,based hot jew
18904736_gab,it true  ‍ is a faggot 🙂,normal,faggot
1167659752266113025_twitter,there does seem to be an uncanny similarity between the current usual suspects and previous ‘ asians ’,hate speech,asians
22898862_gab,ugly commie bull dyke cunt,normal,dyke cunt
1178926045044457472_twitter,stumptown is a shit show the writers are retarded the story is boring it is a total waste of its fantastic cast,hate speech,retarded
27201633_gab,so i posted on craigslist rnr wondering why there were so many beaners in this town and i get this as a response i knew there were illiterates out there but this one is ridiculous,hate speech,beaners
17138988_gab,wow go figure once again the placed crowd at new year rockin eve is mainly chinks niggers beaners muslims kikes dykes faggots and chicks with dicks,normal,kikes faggots dicks
23332141_gab,why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed  days before you published it on your website faggot  ‍,normal,nigger faggot
22967436_gab,the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot,normal,kike faggot
16918017_gab,i wonder what the faggot  has been up to in norway,hate speech,faggot
26558540_gab,fuck you and your horseshoe faggot,hate speech,faggot
16781658_gab,this is atrocious fuck this nigger bitch,normal,nigger bitch
17330056_gab,how dafuk a ching chong gone deliver mah food wit all dis snow out heah shiet nigga best brang mah food,hate speech,ching chong
11758726_gab,better call the anti defamation league you gay jew faggot,hate speech,gay jew faggot
23290934_gab,hell yeah proof that the anti q trolls here are fake alt right kike dick suckers,normal,kike dick suckers
20864492_gab,nice ghetto rims faggot,normal,ghetto rims faggot
26240215_gab,somebody posted a dick pic to this account i knee jerk muted them but am un muting them as they were complaining about gay porn on twitter hoping that they were intoxicated and think better of the post and delete it,hate speech,gay porn
1178869912728567809_twitter,bro i swear to god i fucking hate white girls you little ugly ass maggots,normal,white girls
19679152_gab,be good for you to knock off promoting the fictional kike faggot jesus christ insanity perversion in general,normal,kike faggot
1179051027187818498_twitter,filthy jet black nigga backstage full of white bitches no i do not sell like macklemore but i have got white privilege,normal,filthy black nigga
12453277_gab,ds does not remove posts like weevs because weevs post is not illegal it removes jidf faggots telling people to kill cops n shit,hate speech,faggots
1178416456238866437_twitter,your the biggest faggot if you do not like sports,hate speech,faggot
1213958396577304578_twitter,why is there so much gay subtext in my baby sitters a vampire,hate speech,gay
22421440_gab,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,normal,illegal muslim faggot queer dike
13922282_gab,this is why naxalt is bullshit the faggot mind of sheep uses the  as the rule to say there are no wolves yet when attacked it only  of wolves eating sheep,hate speech,faggot
8154294_gab,people do not let your dislike of illegal immigrants cloud your judgment i resent illegal immigrants that does not mean i hate mexicans i have more resentment for visas issued to foreign it workers in silicon valley than i do for the people picking my lettuce and tomatoes,hate speech,resent illegal immigrants
26137273_gab,ffs everthing is offensive to muslimes,hate speech,muslimes
24119382_gab,you are a dumb spic that can not spell spaniard,normal,spic
21854608_gab,niggaz was fat in the good old days and they usually died of heartattacks by fitty from crack cocaine and chasing white women dat nigger found jesus and a guru,normal,nigger
11060280_gab,since  shitlibs have said that if only there were a few 5 0 iq moslem janitors at the world trade centers moslems would not have attacked it we have a refusegee problem before libya breivik understood you do not shoot the water coming into the boat but those drilling holes in the hull,normal,moslem moslems
1179103603581243393_twitter,birds of prey listening to margot robbie talk like a retarded white girl who thinks she can drop the n word any time she wants for  hours hard pass,hate speech,retarded
22001731_gab,how do we deal with mudslime baedophiles,normal,mudslime
22783429_gab,if obama shows up at your mosque do not let him in hes a queer first then a phony muslim just like hes a phony american mussie do not abide with gays and there have been to much proof he is well into men,hate speech,mussie
1170769_gab,snerfbucket ima try call me nigger,normal,nigger
3525836_gab,watching  minutes and the lawlessness of nigger hood rats the chicago police dept have given up result  increase in homicides,normal,nigger
1200983749174931456_twitter,shut up faggot,hate speech,faggot
1178419875586461696_twitter,if i am the faggot your the fucking slutty bitch drowning in my cum the tall bunny did not care,hate speech,faggot slutty bitch
20581944_gab,you d think a gay gym would have whatever equipment required to work the rear end,hate speech,gay gym
15618393_gab,it the natural order in apfrica and the me for the men to literally sit around and have the women do the work look at any coffee shop in minneapolis or other cities infested by zoomalis bantus or arabs and you will see it,normal,zoomalis bantus or arabs
1122838748612501504_twitter,you are your own sacred space shield that shit from bug bitches,hate speech,bitches
21005747_gab,the jews the comies the nigz the muzzies,normal,nigz muzzies
25960592_gab,well bill nye is a cuckservative faggot anyway,hate speech,cuckservative faggot
1178791106097664000_twitter,cus yall some faggots 🤮,hate speech,faggots
26656403_gab,shock as nigger turns out to be a nigger,normal,nigger
27956816_gab,says the swamp muzzie who fucks goats,normal,muzzie
12151236_gab,white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone,normal,jigaboo
16436197_gab,what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked,normal,cucknadians crypto muslim puppet cucknada
21546923_gab,any urgent questions in parliament today about telford do not be such nervous nelly paki moslem child rape gangs are just part parcel etc etc,normal,paki moslem
1178301216981504001_twitter,you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes,normal,faggot
1256299337644150785_twitter,nope the gays do,hate speech,gays
27265236_gab,meek and mild c mon don call him what he is a faggot,normal,faggot
1271316699170529286_twitter,whatchu are  is a self hating homosexual who has to pay for your homosexual desires,hate speech,homosexual homosexual
5646582_gab,the parade needed at least one severed head in honor of muslim culture,normal,severed head in honor muslim culture
6042008_gab,i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within  feet of my daughters and thats your life over checkout time mohammed,normal,mudslime goat fucker
24304008_gab,claire balding i know you can be raped by some niggas you dyke,normal,niggas dyke
1178655780029042688_twitter,what mother fucker your white ass think his black ass playing with your white asses wigger please he dead ass that a no go my ass would cancel that show just to be safe and protect everyone asses in that town  out here saving lives,hate speech,white ass
12781022_gab,force normies to choose between well dressed white men with american flags and smelly commie faggots with soviet flags antifa attacks us in such a scenario they lose antifa does not attack us they lose,hate speech,smelly commie faggots
6978106_gab,i love when jews say how they really feel,hate speech,say how
1076393735636758528_twitter,finstas are gay,hate speech,gay
23737066_gab,give us more of your money women and country it is our right to rape you,hate speech,give us more of your money women and country it is our right to rape you
15339737_gab,i did no such thing you psychotic moron i said scared women donct report rape you somehow made that into me wanting rapists to go free after you said any woman who is scared after being raped is useless to society you are one unhinged jackass,hate speech,psychotic moron
13909327_gab,happy early birthday there going to be alot of antifa pussies who are going to be very surprised what real violence looks like it will be coming from men who have practiced the art of violence for many years it should cure any further outbreaks from the tards,hate speech,pussies tards
13063961_gab,also that he a faggot and serial mudshark,normal,faggot mudshark
23669800_gab,well i do not agree with dinesh trump or anyone really d however the right is indeed more populist right now while left establishment is getting too greedy and using virtue signaling to undermine those and others they claim to support ghetto pimping,hate speech,ghetto pimping
21706524_gab,white woman murdered by muslim cop shitskin cop walks free no jail time,hate speech,murdered shitskin
8212775_gab,with already have hillary here that one crazy ass bitch too many i hope he gets her so upset her panties twist up and squeeze her nuts,hate speech,crazy ass bitch gets her so upset her panties twist up and squeeze her nuts
27305748_gab,some spick kids scratched my parents car today and for whatever reason i did not call the cops and just scared them away,hate speech,spick
11947521_gab,sure nigger loving whore sure,normal,nigger loving whore
24436049_gab,this is catching air because it happened at a christian school the muslim dominated schools of dearborn and hamtramck see kids shoved around and disciplined all the time according to islamist rules without a peep from the press,hate speech,the muslim dominated schools of dearborn and hamtramck see kids shoved around and disciplined all the time according to islamist rules without a peep from the press
24643552_gab,um lazy stupid nigger savages,normal,nigger
17305899_gab,trump scumbag former spic advisor just pushed for daca amnesty daca amnesty is war,normal,spic
27058756_gab,anti white feminist is attacked by a violent shitskin and promptly blames white men for not saving her she does not blame the shitskin instead says he just needs help and pity oh did i mention she jewish how shocking,normal,shitskin shitskin
13110414_gab,the boomer toughguy became my object of general loathing after observing one on a train casually interacting with a sulking sheboon and going out of his way to call her ma am one obsequious instance after another,normal,sheboon
1115608401839439872_twitter,yepper another day with stupid yeah threaten eu with tariffs piss everyone off and turn u into a shithole country,hate speech,shithole
1178338068878778368_twitter,real niggas only you pussy faggots,normal,pussy
10777127_gab,fuck that nasty bitch with a moslem dick,normal,bitch moslem
9468538_gab,not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you,normal,nigger heeb
21868115_gab,but one of them is a nigger,normal,nigger
6144966_gab,right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals,normal,nigger
13987009_gab,♫ after debris settles and the dust gets swept off young hwytes pick up where big a had left off right when kike magazines wrote the west off we used the internet for something better than to jack off ♫,normal,kike
16385365_gab,great a wife beater and dog stealer tryed to suicide himself  and a run like a pussy from  soy antifa faggots forney all in agreement of what nehlen should do how about just no,hate speech,antifa faggots
21168353_gab,blacksketball is now owned by black rules first they put in the dunk then they stopped calling walking palming the ball carrying the ball and now the college refs are also calling ghetto playground basketball we need a new basketball league where white people again make the rules,normal,blacksketball
27807123_gab,you cannot be reasonable with 3 rd world retards their low iq and their training as perpetual victims predisposes them to violence we are killing ourselves trying to be kind and reasonable with retarded animals,hate speech,3 rd world retards their low iq and their training as perpetual victims predisposes them to violence we are killing ourselves trying to be kind and reasonable with retarded animals
18596533_gab,national capitalism now no wanting people to have money is hatespeech and stop calling it national capitalism we jews decided political dissenters of zionism should call themselves national socialists so that conservatives and christians capitalists never listen to them,hate speech,political dissenters
1203708372094267392_twitter,never let a nigga with no money disrespect you that ’ ghetto 🥴,hate speech,nigga
11560882_gab,haredi none haredi jews have similar low math scores ashkenazi make up  of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions,normal,all jews are hybrid mongerels jews all low i q sand niggers
1193988623185694721_twitter,man niggas got thin ass jackets and shit 😭,hate speech,niggas
19030152_gab,adios nigger lover,normal,nigger lover
13358006_gab,deport his unfunny fat kike ass back to canadastan make america funny again,normal,kike
12197351_gab,white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea,normal,white sharia is shit fuck of retarded
23316721_gab,i post a video showing the shocking promotion of violence by the south african eff themselves and jewtube still say i am promoting violence,hate speech,jewtube
1088888537909481472_twitter,love one of you bucket headed hoes no way,hate speech,hoes
1792851_gab,kiwiposse  the wobh post suggests otherwise it about the hate preacher that radicalises the muslim population once they tip over the  of the population threshold the cancer starts to bite no matter how reasonable we will eventually have the muslim ghettos that foment radical islam,hate speech,ghettos
12651974_gab,what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either,normal,muslim does in the privacy of his own goat is
20887656_gab,yeah you are filthy little bone smoking kike,normal,kike
11805489_gab,behind the rohinya muzzie sob story http ://,normal,muzzie
20597923_gab,that is just too retarded even by nigger standards,normal,nigger
16388640_gab,i visited in that trip eng irl scotland saw ancient everything they are time itself i think maybe that why i get impatient about how they are allowing the muzzies destroy the place so rich in culture and historic timelessness europe is a living museum and should be respected as such,normal,muzzies
22249621_gab,it like   points above american whites in japan and south korea tbh but this is what happens when hostile aliens control your country watch out if you are eyeing south korea though since the importation of jungle asians and poo in the loos is occurring on the downlow,normal,hostile aliens jungle asians loos
5857792_gab,i dissent the pact between jews muslims to rig the towers with thermite while promising the arabs the usa in return the jew world order,hate speech,rig the towers with thermite while promising the arabs the usa in return
27107089_gab,niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too,normal,niggers
20028637_gab,lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do,normal,sand nigger chicks
1090145948280459264_twitter,shut up retard im going to sleep dont do anything dumb,hate speech,shut up retard
23085003_gab,yeah if you do not support my corrupt multiculti globo homo military run by a corrupt government controlled by jews then you have no balls brilliant,normal,homo jews
23450643_gab,if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope,normal,shitskin goatfucker
1226181982562004992_twitter,nigga melly said “ i get a ssi check i ’ m retarded fr ” 🤣,hate speech,retarded
16825934_gab,it ghetto talk though it basically meant degenerate stereotypical trashy woman,hate speech,ghetto degenerate stereotypical trashy woman
1098931568628977665_twitter,i am clearly a fucking retard,hate speech,fucking retard
12009892_gab,the only kike here is you,normal,kike
15979921_gab,failed moslem terrorists do not get any virgins just arse raped for eternity by big dindu nuffins with bars of soap they only use for the occasion,normal,moslem terrorists dindu nuffins
12933032_gab,why do we allow any moslem filth brought here to begin with we have a right as a sovereign nation to disallow anyone we deem unworthy to be an american from coming here,normal,moslem
1234258840557936640_twitter,saying the n word if you ’ re white means you ’ re racist and saying the f word if you ’ re straight means you ’ re homophobic idc what u say,hate speech,n word if you ’ re white means you ’ re racist f word if you ’ re straight means
1178852610025111553_twitter,wow porch monkey ur mean,hate speech,porch monkey
25597752_gab,i think our president is brilliant why are women such brainlets,hate speech,why are women such brainlets
1220935440951336960_twitter,islam makes all the fun stuff in life forbidden haram it sucks 😒,hate speech,
1178629960837275649_twitter,i hate these faggots 🤷 🏾 ‍ ♂️,normal,faggots
21689324_gab,what is ppl views on paki men muslim men rapping white uk girls,hate speech,paki
1178711725924855808_twitter,i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers,normal,niggers
19255529_gab,makes me want to puke so fucking tired of this moslem shite appeasement,normal,moslem
1183672_gab,i can not see the swedish problem in the usa you can flood us with illegal immigrant assholes but our dna as americans does not sit well with the whole boot on their necks theory,hate speech,illegal immigrant assholes
18416152_gab,lmao this snow nigger is fuming so hard he brought out his ebonics 😂 🤣 😂 🤣 😂 🤣 😂 😂 😂 🤣 😂 🤣 lol this is your future daughters homeboi,normal,nigger
12946173_gab,oh wow i never knew that what a feminazi was holy shit i definitely do not fit that bill i just thought it was some made up word,hate speech,feminazi
13909479_gab,lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots,normal,kike dick sucking pedo faggots
20084998_gab,i want to go back to school and get an education but i am poor and colleges are kike rip offs i am not satisfied with where i am in life and honestly have no clue where or how to start pushing forward,normal,kike
1458687_gab,my retarded liberal friends are all in a panic lots of crying and gnashing of teeth over the trump win i love it gabfam,hate speech,retarded
19955302_gab,i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone,normal,mongoloid negroid mongoloid jews as they wanted as slaves
19607225_gab,when i see a nigger bich i do not see a woman i see a turd wit a brillohaid,normal,nigger
17635175_gab,well it turns out that ann coulter is just another media whore and her shtick is blind hatred toward hispanics the truth is that god mercy does not contradict his righteousness it is demanded by it somewhere between the lefts lionization of immigrants and coulter hatred is the truth,hate speech,whore
26502494_gab,these nigger biches look like aunt jemima,normal,nigger
19775212_gab,that is probably for my obamas homosexual escapade that morning,hate speech,homosexual escapade
12737648_gab,anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites,normal,nigger
9988900_gab,long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm,normal,nigger
1094042528024850433_twitter,lying atheistic communist jews are hurting the image of my people shanda,hate speech,jews
15764545_gab,goodnight nigger lover lover,normal,nigger
16199191_gab,they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe,normal,
1178671623324540928_twitter,i want to jimmy kimmel to do one of those ate kids halloween candy videos but instead of halloween candy challenge suburban white parents to call  black kids that knock on their door niggers,normal,niggers
20110393_gab,kikes are the real problem pay all refugees and muslims to leave for uk and france,normal,kikes are the real pay all refugees and muslims to leave
17336541_gab,just the jews you fucking kike,normal,kike
1161409387837235202_twitter,that dude is retarded as fuck,hate speech,retarded as fuck
24116289_gab,fuck you and die you fuckin lezzie nigger white hating cunt,normal,nigger
27617010_gab,i want a truth and no reconciliation these fuckers who have done this to our lands must confess that they lied to shitskins and flooded our lands to destroy shitskins must be told the truth we knew you would fuck shit up so we sent you into white lands,hate speech,shitskins
26089002_gab,no do not lie these shithole are great places for niggers and spics and arabs to live they all will be happy together without wypipo,normal,niggers spics
1178765633162485760_twitter,everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct,normal,niggers
11534429_gab,did i say soley you disingenuous kike rat i said  and it would be better without your  plus the other former  thanks kikes for crankung rhat up to,normal,kike
4480442_gab,u notice people like  are not too eager at exploring or talk abt the jewish and israeli connections the evidence for which there is plenty dancing israelis truck bomb jews urban moving systems jews suter wtc lease ring jews gelatine art students etc etc just arabs arabs arabs,normal,dancing israelis truck bomb jews just arabs
25772991_gab,anyone that stands with sand niggers over america is a piece of shit that all,hate speech,sand niggers
4508150_gab,the edmund fitzgerald leaves for canada tomorrow morning all muzzies are welcome and it is free,normal,muzzies
9701730_gab,that towel head is a dude i am almost sure i just threw up in my mouth a little,normal,towel head
17382306_gab,imagine if there wasn t oil in the middle east there would be no dubais there would be no wealthy towel headed sand nigger ruling class because of oil muslim goat fckrs oops i meant herders get to hide in plain sight now they intend to take over the u.s.,normal,towel headed sand nigger muslim goat fckrs
16822676_gab,nazi wack a mole lmfao your funny gay nazis 😂 😃 😄 😄 😅,hate speech,gay
1231241038813126657_twitter,i post exactly how i talk in real life 🤣 country and ghetto,hate speech,country and ghetto
25902415_gab,this asswipe is always where the violence happens he must be the ringleader for the nonsense,hate speech,asswipe
1238972592721219585_twitter,wonho be like “ who want me 😍 ” bitch monsta x,hate speech,bitch
20447446_gab,no but mestizo spic sure is,normal,mestizo spic
27513034_gab,that his sister sheboon friend melissa is apparently dating some blonde dude,normal,sheboon
1257145287170306051_twitter,bitches be with african niggas talkin about “ with papi 🥰 ” nah bitch you with baba 😫 😭,hate speech,african niggas
15646177_gab,incredible how asians have been turning to shitlib ideologies they are traditionally bulwarks of confucian law order disgusting they should be executed,normal,shitlib ideologies they should be executed
10618535_gab,you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable,normal,musloid
20318172_gab,that poor guy fucking mixer nigger grand kids that as bad as that fucking moron trump with his mixer jew grand kids,normal,
20130934_gab,my family owned  but we also fought for the union i really wish they would make a real proposal for reparations at some point i would not be able to contain myself if once everything was calculated every nigger got like  😂,normal,nigger
7344450_gab,despite living in the same american neighborhood for decades i somehow managed to move to a muslim country i base this on having gone food shopping today in a store over run with hijab clad terrorists,normal,hijab clad terrorists
20994284_gab,ass in the air lodi take every inch of depravity your masters want to give you take it all ya lil faggot btw the 1 st amendment applies to everyone not just thin skinned boomer queers and leftists you do not like gab 🐸 gtfo,normal,queers
1109531920722022400_twitter,nigger nigger nigger,normal,nigger nigger nigger
1181559612773781504_twitter,welcome to femi nazi you are like yes to equal right but no to equal responsibility irony,hate speech,femi nazi
21606378_gab,from the zman take a ghetto tour through a place like baltimore and you see a world that should never exist in a western country less than a long lifetime ago it did not exist it was not allowed to exist by the people in charge,normal,ghetto
10620287_gab,so it turns out that nationalism is the supreme withcraft of the jews and freemasonry its that time when the rothchilds give the next step in creating their new world order also known as the jew world order,normal,jews
12442537_gab,got a twitter account suspend so here i am nigger nigger nigger jews are duplicitous and you should not cuck for them,normal,nigger nigger
1175979330373128192_twitter,israeli jews should unilaterally withdraw to being the  of the uae witout citizenship then arabs woulf be free,hate speech,israeli jews should unilaterally withdraw
4617530_gab,muslim countries refusing to take in or help muslim refugees raises no outcry from the alt left liberal socialists but a temporary ban on travelling here from a known terror hotspot is inhumane fucktards,normal,fucktards
25333827_gab,these nazis that post here at gab seem to be a bit delusional and mostly retarded to say the least lol trump gabfam speakfreely,hate speech,retarded
11832708_gab,my iq is a confirmed  points checkmate you ignorant faggots,normal,faggots
1178287461560127489_twitter,u niggers r coonin for that kanye shit,normal,niggers coonin
